employer_id,vacancy_id,evidence_url,support_team_size_min,support_evidence,evidence_type,mentions_24_7,shift_work
10123341,128510506,https://hh.ru/vacancy/128510506,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
10128283,127949674,https://hh.ru/vacancy/127949674,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
10228223,128730896,https://hh.ru/vacancy/128730896,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
1025275,126345287,https://hh.ru/vacancy/126345287,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
10280369,128560162,https://hh.ru/vacancy/128560162,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
1030733,127704255,https://hh.ru/vacancy/127704255,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
10337522,127597426,https://hh.ru/vacancy/127597426,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
10351,128546156,https://hh.ru/vacancy/128546156,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
104085,128872636,https://hh.ru/vacancy/128872636,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
10601521,94647818,https://hh.ru/vacancy/94647818,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",jobs,1,1
10647164,128865433,https://hh.ru/vacancy/128865433,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
10854939,128700189,https://hh.ru/vacancy/128700189,10,"Признаки крупной поддержки: упоминание 24/7/круглосуточно, сменный график/ночные смены. По правилу B ставим минимум 10.",jobs,1,1
10867304,127941891,https://hh.ru/vacancy/127941891,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
